Symbol,Name,Country,IPO Year,Volume,Sector,Industry
TCBI,Texas Capital Bancshares Inc. Common Stock,United States,2003,232154,Finance,Major Banks
TCBK,TriCo Bancshares Common Stock,United States,,42615,Finance,Major Banks
TCF,TCF Financial Corporation Common Stock,United States,,200611,Finance,Major Banks
TCMD,Tactile Systems Technology Inc. Common Stock,United States,2016,12860,Health Care,Medical/Dental Instruments
TCPC,BlackRock TCP Capital Corp. Common Stock,United States,2012,98578,Finance,Finance/Investors Services
TCRR,TCR2 Therapeutics Inc. Common Stock,United States,2019,52245,Health Care,Major Pharmaceuticals
TDC,Teradata Corporation Common Stock,United States,,370003,Technology,EDP Services
TDF,Templeton Dragon Fund Inc. Common Stock,United States,,8890,,
TDG,Transdigm Group Incorporated Transdigm Group Inc. Common Stock,United States,2006,86308,Capital Goods,Military/Government/Technical
TDOC,Teladoc Health Inc. Common Stock,United States,2015,2514974,Health Care,Medical/Nursing Services
TDS,Telephone and Data Systems Inc. Common Shares,United States,,200720,Public Utilities,Telecommunications Equipment
TDUP,ThredUp Inc. Class A Common Stock,United States,2021,151970,Consumer Non-Durables,Department/Specialty Retail Stores
TDW,Tidewater Inc. Common Stock,United States,2017,27766,Energy,Oilfield Services/Equipment
TDY,Teledyne Technologies Incorporated Common Stock,United States,,70585,Capital Goods,Industrial Machinery/Components
TECH,Bio-Techne Corp Common Stock,United States,,29386,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TEI,Templeton Emerging Markets Income Fund Inc. Common Stock,United States,1993,26469,,
TEKK,Tekkorp Digital Acquisition Corp. Class A Ordinary Shares,United States,2020,11434,Finance,Business Services
TELL,Tellurian Inc. Common Stock,United States,,3341111,Energy,Oil & Gas Production
TEN,Tenneco Inc. Class A Voting Common Stock,United States,,1018604,Capital Goods,Auto Parts:O.E.M.
TENB,Tenable Holdings Inc. Common Stock,United States,2018,194199,Technology,EDP Services
TER,Teradyne Inc. Common Stock,United States,,692331,Capital Goods,Electrical Products
TERN,Terns Pharmaceuticals Inc. Common Stock,United States,2021,7193,Health Care,Major Pharmaceuticals
TEX,Terex Corporation Common Stock,United States,,271174,Capital Goods,Construction/Ag Equipment/Trucks
